City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Maneadero,MX,67.1,clear sky,31.7167,-116.5667,Casa De Thompson
256,Saint George,US,54.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
257,Satellite Beach,US,79.0,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
260,Acarau,BR,79.05,few clouds,-2.8856,-40.12,castelo pizzaria
261,Caravelas,BR,74.53,light rain,-17.7125,-39.2481,Pousada dos Navegantes
262,Hoquiam,US,56.93,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
263,Dumai,ID,74.26,light rain,1.6833,101.45,Grand Zuri Dumai
264,Gao,ML,69.93,broken clouds,16.6362,1.637,
265,Araxa,BR,71.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
267,Singleton,AU,65.91,clear sky,-32.5667,151.1833,Quest Singleton
269,Avanigadda,IN,64.8,clear sky,16.0215,80.9181,AP Camping
271,Beloha,MG,67.95,few clouds,-25.1667,45.05,
273,Belmonte,BR,76.59,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Hambantota,LK,76.33,broken clouds,6.1241,81.1185,Bungalow 63
276,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
278,Gien,FR,55.44,light rain,47.6933,2.6309,Hôtel la Poularde
279,Nuevo Casas Grandes,MX,55.74,clear sky,30.4167,-107.9167,Hotel Villa Colonial
280,Necochea,AR,61.9,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
282,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
285,Airai,TL,68.02,overcast clouds,-8.9266,125.4092,
286,Taltal,CL,63.63,few clouds,-25.4,-70.4833,Residencial Karime
288,Nakhon Thai,TH,73.44,scattered clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
291,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
292,Pimentel,PE,64.69,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
293,Kutum,SD,61.36,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
294,Ashqelon,IL,62.8,scattered clouds,31.6693,34.5715,Leonardo Ashkelon
297,Dubbo,AU,59.13,clear sky,-32.25,148.6167,Quality Inn Dubbo International
298,Margate,GB,54.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
301,Yulara,AU,74.25,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
302,Cap Malheureux,MU,68.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
304,Ebebiyin,GQ,68.11,overcast clouds,2.1511,11.3353,Vallée-du-Ntem
308,Sines,PT,63.28,overcast clouds,37.9562,-8.8698,Hotel Sinerama
309,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
312,Aurillac,FR,50.88,light rain,44.9167,2.45,Hôtel Restaurant Campanile Aurillac
313,Arica,CL,67.55,clear sky,-18.475,-70.3042,Americano
314,Ojinaga,MX,56.35,clear sky,29.5667,-104.4167,Suites Las Palmas
315,Lakes Entrance,AU,60.17,light rain,-37.8811,147.981,The Esplanade Resort & Spa
316,Khonsa,IN,54.32,clear sky,27.0167,95.5667,
317,Guerrero Negro,MX,73.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
318,Kineta,GR,64.83,scattered clouds,37.9709,23.2183,Hotel Sun
320,Zhicheng,CN,52.59,clear sky,30.2956,111.5047,Wangjiang Building
323,Hasaki,JP,50.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
325,Angoche,MZ,76.06,light rain,-16.2325,39.9086,Guest House HESADA
326,Saint-Paul,RE,71.69,scattered clouds,-21.0096,55.2707,Boucan Canot
328,Chumphon,TH,70.97,overcast clouds,10.3333,98.8333,สกาน จ๋า.
329,Galle,LK,75.67,overcast clouds,6.0367,80.217,Amangalla
335,Sur,OM,75.52,clear sky,22.5667,59.5289,Sur Plaza Hotel
340,Tessalit,ML,69.31,scattered clouds,20.1986,1.0114,
341,Bandarbeyla,SO,77.86,few clouds,9.4942,50.8122,JABIR HOTEL
342,Mbuji-Mayi,CD,68.0,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
344,Karema,TZ,70.2,moderate rain,-6.8205,30.4389,
345,Ha Giang,VN,73.31,overcast clouds,22.8333,104.9833,Truong Xuan Resort
348,Vangaindrano,MG,71.98,overcast clouds,-23.35,47.6,Hotel Fanilo
350,Kiama,AU,64.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
351,Jutai,BR,75.06,broken clouds,-5.1833,-68.9,
354,Taoudenni,ML,73.36,clear sky,22.6783,-3.9836,
355,Turbat,PK,74.73,clear sky,26.0023,63.044,Mubashar Quarters
356,Wattegama,LK,70.02,overcast clouds,6.7989,81.4808,
357,Terenos,BR,76.71,clear sky,-20.4422,-54.8603,Familia Martins Farias
358,Fortuna,US,59.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
359,Boende,CD,69.46,overcast clouds,-0.2167,20.8667,
361,Yining,CN,57.29,overcast clouds,29.0361,114.5636,Xiushui Hotel
362,Yanam,IN,65.19,scattered clouds,16.7333,82.2167,The Regency Hotel
363,Half Moon Bay,US,69.71,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
364,Ayna,PE,61.11,overcast clouds,-12.65,-73.9167,
365,Monte Alegre De Minas,BR,76.06,clear sky,-18.8706,-48.8808,Hotel Via Hotel
366,Birao,CF,69.48,overcast clouds,10.2849,22.7882,
367,Tezu,IN,59.25,clear sky,27.9167,96.1667,Circuit House
368,Pyay,MM,69.96,clear sky,18.8167,95.2167,Shwe Pyi Thar
373,Amapa,BR,73.6,overcast clouds,1.0,-52.0,
374,Erzin,TR,58.32,overcast clouds,36.9559,36.2,Artemis Otel
375,Maragogi,BR,76.71,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
376,Lerwick,GB,50.0,moderate rain,60.1545,-1.1494,The Lerwick Hotel
377,Kaberamaido,UG,65.82,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
378,Lahij,YE,69.37,clear sky,13.1667,44.5833,
379,Tateyama,JP,55.09,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
382,Puerto Madryn,AR,63.09,clear sky,-42.7692,-65.0385,Hotel Tolosa
383,San Vicente,AR,60.98,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
387,Hurghada,EG,68.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
390,Porto Uniao,BR,57.67,clear sky,-26.2381,-51.0783,Hotel 10
393,Constitucion,CL,58.32,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
396,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
397,Qandala,SO,75.76,clear sky,11.472,49.8728,
399,Tura,IN,60.03,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
402,Camapua,BR,72.54,clear sky,-19.5314,-54.0439,Comercial Estrela
403,Touros,BR,78.93,clear sky,-5.1989,-35.4608,INN NEW HORIZON
405,Aleksinac,RS,53.56,light rain,43.5417,21.7078,Hostel Teresianum
407,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
409,Coihaique,CL,59.61,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
411,Lady Frere,ZA,57.0,overcast clouds,-31.7031,27.2329,Nonceba Guest House
413,Rocha,UY,60.24,few clouds,-34.4833,-54.3333,Hotel Arrarte
415,Kathmandu,NP,50.22,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
416,Qui Nhon,VN,76.44,broken clouds,13.7667,109.2333,Seagull Hotel
419,Gat,IL,64.4,scattered clouds,31.61,34.7642,OlusHome
425,Canas,CR,75.56,broken clouds,10.4294,-85.0931,HOTEL CAPAZURI
427,Constantine,DZ,60.21,light rain,36.365,6.6147,Grand Hotel Cirta
428,Ihosy,MG,66.13,broken clouds,-22.4,46.1167,Tamana hôtel
429,Flinders,AU,64.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
430,Irituia,BR,77.09,broken clouds,-1.7711,-47.4381,Hotel Irituia
432,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
435,Am Timan,TD,74.43,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
436,Rawson,AR,61.21,clear sky,-43.3002,-65.1023,Hosteria Sampedro
438,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
439,Atar,MR,77.07,clear sky,20.5169,-13.0499,Oumou Elghoura
441,Knysna,ZA,62.08,overcast clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
443,Nioro,GM,78.1,broken clouds,13.35,-15.75,
448,Kaputa,ZM,70.14,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
449,Lumut,MY,75.22,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
450,Biltine,TD,70.83,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
451,Laje,BR,79.21,broken clouds,-10.1833,-40.9667,NN Pousada
452,Muros,ES,62.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
454,Sao Gabriel Da Cachoeira,BR,74.12,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
456,Utete,TZ,74.61,broken clouds,-7.986,38.758,River View Lodge
459,San Quintin,MX,65.46,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
460,Teahupoo,PF,78.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
462,Mala,PE,65.8,overcast clouds,-12.6581,-76.6308,Hotel Granda
463,Bereda,ES,56.14,overcast clouds,43.2686,-7.5406,Pazo de Verdes
467,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
469,Sungaipenuh,ID,63.18,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
471,Nacala,MZ,75.38,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
473,Guane,CU,76.06,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
474,Lenoir,US,53.73,clear sky,35.2335,-77.6497,"Holiday Inn Express & Suites Kinston, an IHG Hotel"
476,Trairi,BR,78.78,clear sky,-3.2778,-39.2689,janelas do mar
477,Kidal,ML,70.74,overcast clouds,18.4411,1.4078,
478,Boda,CF,71.85,overcast clouds,4.3189,17.4695,
480,Wanaka,NZ,58.05,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
481,Bonthe,SL,77.83,broken clouds,7.5264,-12.505,Bonthe Holiday Village
484,Port Macquarie,AU,67.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
487,Ponta Delgada,PT,64.51,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
488,Camopi,GF,75.07,overcast clouds,3.1655,-52.3158,La pousada
491,Bendigo,AU,55.63,overcast clouds,-36.7667,144.2833,The Hotel Shamrock
492,Vicuna,CL,77.77,few clouds,-30.0319,-70.7081,Los Mosaicos
493,Nago,JP,75.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
494,Katete,UG,61.84,light rain,-0.7818,29.7544,
495,Waitati,NZ,55.8,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
