City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Upernavik,GL,72.7868,-56.1549,11.21,92,97,12.24,overcast clouds
116,Hualmay,PE,-11.0964,-77.6139,64.74,84,92,9.4,overcast clouds
117,Nizhniy Tsasuchey,RU,50.5167,115.1333,22.69,83,63,10.42,broken clouds
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,62,0,6.71,clear sky
119,Geraldton,AU,-28.7667,114.6,64.81,63,75,12.66,broken clouds
120,Plettenberg Bay,ZA,-34.0527,23.3716,60.91,76,97,4.54,overcast clouds
121,Weihai,CN,37.5017,122.1136,52.38,69,0,7.96,clear sky
122,Nome,US,64.5011,-165.4064,31.15,80,100,19.57,overcast clouds
123,Kyle,US,29.9984,-97.8715,53.74,48,24,8.63,few clouds
124,Mikhaylovka,RU,50.06,43.2379,35.78,88,100,3.18,overcast clouds
125,Atuona,PF,-9.8,-139.0333,78.19,75,2,12.57,clear sky
126,San Patricio,US,28.017,-97.5169,51.67,61,100,8.34,overcast clouds
127,Loandjili,CG,-4.7561,11.8578,75.81,81,100,5.26,overcast clouds
128,Norman Wells,CA,65.282,-126.8329,5.04,92,75,0.0,broken clouds
129,Myrtle Beach,US,33.6891,-78.8867,57.09,81,0,8.05,clear sky
130,Longyearbyen,SJ,78.2186,15.6401,22.84,63,20,13.8,few clouds
131,Lima,PE,-12.0432,-77.0282,67.89,77,20,14.97,few clouds
132,Eureka,US,40.8021,-124.1637,60.21,77,3,3.0,clear sky
133,Mokhsogollokh,RU,61.4681,128.9203,-32.31,100,90,3.96,overcast clouds
134,Avera,US,33.194,-82.5271,51.31,48,100,10.94,overcast clouds
135,Nara,JP,34.6851,135.8049,49.5,68,81,2.48,broken clouds
136,Oyem,GA,1.5995,11.5793,67.08,98,100,2.48,overcast clouds
137,Pevek,RU,69.7008,170.3133,6.44,95,100,4.63,light snow
138,Hamilton,US,39.1834,-84.5333,35.94,79,100,11.5,overcast clouds
139,Hilo,US,19.7297,-155.09,79.25,80,75,5.75,light rain
140,Sioux Lookout,CA,50.1001,-91.917,23.07,86,100,2.3,overcast clouds
141,Dikson,RU,73.5069,80.5464,-1.43,97,100,13.53,overcast clouds
142,Emerald,AU,-23.5333,148.1667,76.33,28,59,13.76,broken clouds
143,Hithadhoo,MV,-0.6,73.0833,80.62,79,69,10.63,broken clouds
144,Nouakchott,MR,18.0858,-15.9785,82.33,49,41,10.65,scattered clouds
145,Belaya Gora,RU,68.5333,146.4167,-20.42,98,100,2.48,overcast clouds
146,Redcliffe,AU,-27.2307,153.0973,72.9,35,0,10.36,clear sky
147,Portland,US,45.5234,-122.6762,54.19,55,0,12.66,clear sky
148,Jamestown,US,42.097,-79.2353,35.02,71,100,18.41,overcast clouds
149,Lewistown,US,40.5992,-77.5714,37.26,89,100,5.75,overcast clouds
150,Thompson,CA,55.7435,-97.8558,17.76,86,100,9.22,light snow
151,Rzhev,RU,56.2624,34.3282,25.07,95,96,3.65,overcast clouds
152,Broome,US,42.2506,-75.833,36.68,82,100,11.5,overcast clouds
153,Victoria,HK,22.2855,114.1577,75.38,85,97,10.0,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,78,7.0,broken clouds
155,Sosva,RU,59.1766,61.8558,-5.37,98,35,0.63,scattered clouds
156,Salamanca,ES,40.8333,-6.0,55.8,95,100,11.7,light rain
157,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,73,75,12.66,broken clouds
158,Payakumbuh,ID,-0.2202,100.6308,69.31,97,100,3.87,overcast clouds
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,91,100,16.33,light rain
160,Khorinsk,RU,52.1657,109.7726,16.54,94,24,3.33,few clouds
161,Malanje,AO,-9.5402,16.341,61.84,88,97,2.48,overcast clouds
162,Vestmannaeyjar,IS,63.4427,-20.2734,47.79,86,100,34.87,overcast clouds
163,Goderich,CA,43.7501,-81.7165,34.12,86,89,6.91,snow
164,Yima,CN,34.7381,111.8839,46.54,59,0,1.7,clear sky
165,Loreto,MX,22.2667,-101.9667,75.07,19,20,12.35,few clouds
166,Saint-Georges,GD,12.0564,-61.7485,78.48,94,40,11.5,scattered clouds
167,Nemyriv,UA,48.9708,28.8378,40.71,92,100,6.06,overcast clouds
168,Bethel,US,41.3712,-73.414,44.69,70,75,8.05,broken clouds
169,Shizunai,JP,42.3339,142.3669,40.93,70,20,12.35,few clouds
170,Namatanai,PG,-3.6667,152.4333,84.4,68,100,6.42,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,-21.23,99,98,4.41,overcast clouds
172,Krasnyy Luch,UA,48.1395,38.9371,37.74,90,100,5.66,light rain
173,Sao Filipe,CV,14.8961,-24.4956,77.68,67,44,2.8,scattered clouds
174,Kruisfontein,ZA,-34.0033,24.7314,60.89,73,76,6.31,broken clouds
175,Mosquera,CO,4.7059,-74.2302,57.29,88,75,2.3,broken clouds
176,Yelan,RU,50.949,43.7378,30.63,98,100,6.51,light snow
177,Xichang,CN,27.8964,102.2634,45.01,82,0,0.45,clear sky
178,Lebu,CL,-37.6167,-73.65,57.99,92,5,8.63,clear sky
179,Nova Vicosa,BR,-17.8919,-39.3719,74.52,91,100,5.61,light rain
180,Nyurba,RU,63.2842,118.3319,1.26,98,100,2.48,overcast clouds
181,Paita,PE,-5.0892,-81.1144,64.67,85,60,16.75,broken clouds
182,Palmer,US,42.1584,-72.3287,42.4,68,40,14.97,scattered clouds
183,Jalu,LY,29.0331,21.5482,62.22,38,0,10.0,clear sky
184,Atasu,KZ,48.6814,71.6433,19.96,92,100,14.16,overcast clouds
185,Ribeira Grande,PT,38.5167,-28.7,62.78,71,66,5.01,broken clouds
186,The Pas,CA,53.8251,-101.2541,23.02,80,100,19.57,light snow
187,East London,ZA,-33.0153,27.9116,65.7,80,84,2.91,broken clouds
188,Meulaboh,ID,4.1363,96.1285,75.18,88,100,3.27,moderate rain
189,Anqing,CN,30.5092,117.0506,55.87,83,100,2.37,overcast clouds
190,Lavrentiya,RU,65.5833,-171.0,33.73,95,88,16.75,overcast clouds
191,Hovd,MN,48.0056,91.6419,27.91,47,79,11.39,broken clouds
192,Byron Bay,AU,-28.65,153.6167,68.7,42,95,13.65,overcast clouds
193,Beroroha,MG,-21.6667,45.1667,74.57,79,8,3.09,clear sky
194,Chilca,PE,-12.5211,-76.7372,63.66,90,99,7.58,overcast clouds
195,Bondo,CD,3.8146,23.6866,68.65,75,98,1.05,overcast clouds
196,Adrar,MR,20.5022,-10.0711,73.85,23,0,10.85,clear sky
197,Provideniya,RU,64.3833,-173.3,35.71,87,100,18.01,fog
198,Isangel,VU,-19.55,169.2667,82.89,64,94,6.8,overcast clouds
199,Marzuq,YE,14.4,46.4667,62.19,62,10,1.66,clear sky
200,Kieta,PG,-6.2167,155.6333,85.24,61,100,4.12,overcast clouds
201,Korsor,DK,55.3299,11.1386,42.98,90,64,31.12,broken clouds
202,Sitka,US,57.0531,-135.33,53.49,66,0,4.61,clear sky
203,Beyneu,KZ,45.3167,55.2,33.67,60,100,17.25,overcast clouds
204,Diamantino,BR,-14.4086,-56.4461,80.74,55,23,3.87,few clouds
205,Mossendjo,CG,-2.9506,12.7261,68.77,100,98,1.54,light rain
206,Vestmanna,FO,62.1564,-7.1664,47.32,81,100,21.85,light rain
207,Riviere-Au-Renard,CA,48.9957,-64.3971,28.69,97,100,10.33,snow
208,Chapais,CA,49.7834,-74.8492,19.18,95,100,5.91,light snow
209,Fochville,ZA,-26.4886,27.4939,68.9,46,29,4.5,scattered clouds
210,Bilma,NE,18.6853,12.9164,66.16,24,2,3.8,clear sky
211,Ust-Maya,RU,60.4167,134.5333,-41.4,99,55,2.42,broken clouds
212,Soverato,IT,38.685,16.5499,57.15,70,85,5.57,overcast clouds
213,Nantucket,US,41.2835,-70.0995,48.25,84,93,26.11,overcast clouds
214,Valparaiso,CL,-33.0393,-71.6273,71.83,79,0,13.8,clear sky
215,Mount Isa,AU,-20.7333,139.5,80.37,22,69,16.11,broken clouds
216,Huarmey,PE,-10.0681,-78.1522,65.35,84,100,8.95,overcast clouds
217,Lasa,IT,46.6166,10.7002,41.88,71,75,2.15,broken clouds
218,Machinga,MW,-15.1685,35.3,70.45,78,13,3.22,light rain
219,Ludvika,SE,60.1496,15.1878,34.34,95,47,3.18,scattered clouds
220,Marsabit,KE,2.3284,37.9899,67.62,67,45,5.55,scattered clouds
221,Progreso,MX,21.2833,-89.6667,80.71,80,7,12.12,clear sky
222,Kostomuksha,RU,64.571,30.5767,26.15,94,88,3.31,overcast clouds
223,Qaanaaq,GL,77.484,-69.3632,-3.93,97,100,3.51,overcast clouds
224,Patacamaya,BO,-17.2333,-67.9167,50.2,49,29,9.22,scattered clouds
225,Chuy,UY,-33.6971,-53.4616,62.22,72,3,5.75,clear sky
226,Katsuura,JP,35.1333,140.3,60.69,70,60,16.62,broken clouds
227,Imbituba,BR,-28.24,-48.6703,65.23,68,0,4.21,clear sky
228,Nacajuca,MX,18.1333,-93.0167,78.85,84,87,6.02,light rain
229,Smithers,CA,54.7804,-127.1743,32.32,80,75,5.75,broken clouds
230,Pundaguitan,PH,6.3711,126.1689,77.7,94,100,20.54,moderate rain
231,General Roca,AR,-39.0333,-67.5833,77.63,24,58,5.28,broken clouds
232,Axim,GH,4.8699,-2.2405,77.7,84,16,6.2,light rain
233,Allende,MX,25.2833,-100.0167,50.67,66,100,5.17,overcast clouds
234,Lodja,CD,-3.4833,23.4333,69.57,89,100,1.95,overcast clouds
235,Loa Janan,ID,-0.583,117.095,78.01,95,100,1.54,overcast clouds
236,Barranca,PE,-10.75,-77.7667,64.15,84,84,8.48,broken clouds
237,Malatya,TR,38.5,38.0,44.65,93,100,2.3,overcast clouds
238,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
239,Xinxiang,CN,35.3089,113.8672,48.92,51,0,2.95,clear sky
240,Cockburn Town,TC,21.4612,-71.1419,82.13,75,5,17.4,clear sky
241,Iqaluit,CA,63.7506,-68.5145,6.53,72,100,4.61,light snow
242,Yuxia,CN,34.0615,108.6291,36.21,71,18,3.15,few clouds
243,Arinos,BR,-15.9169,-46.1056,71.44,88,32,2.28,scattered clouds
244,Ilulissat,GL,69.2167,-51.1,15.82,73,75,8.05,broken clouds
245,Marawi,PH,7.9986,124.2928,69.91,92,100,2.46,moderate rain
246,Hirara,JP,24.8,125.2833,73.67,100,75,8.05,mist
247,Pisco,PE,-13.7,-76.2167,66.25,77,0,18.41,clear sky
248,Jingdezhen,CN,29.2947,117.2079,58.51,93,100,1.16,overcast clouds
249,Juegang,CN,32.3174,121.1855,56.98,85,100,12.12,overcast clouds
250,Cosala,MX,24.4125,-106.6908,73.08,55,68,2.55,broken clouds
251,Aksu,CN,41.1231,80.2644,36.88,46,100,7.43,overcast clouds
252,Batagay-Alyta,RU,67.8006,130.4114,-29.09,92,45,2.8,scattered clouds
253,Kaitangata,NZ,-46.2817,169.8464,57.97,82,100,4.72,overcast clouds
